,male,female,flames_result
4551,michael jimenez,rebecca long,Marriage
4552,eric smith,claudia patton,Friends
4553,kevin ruiz,karen castro,Marriage
4554,sergio williams,terri rice,Marriage
4555,keith carter,ann norton,Affection
4556,robert berry,monique wiley,Marriage
4557,thomas orr,holly howard,Affection
4558,nicholas gilbert,leslie morales,Enemy
4559,joseph li,jessica jones,Marriage
4560,john mckenzie,dr susan romero,Marriage
4561,johnny hogan,rebecca medina,Affection
4562,timothy welch,sharon howell,Love
4563,brian taylor,michelle walsh,Marriage
4564,douglas mccoy,emma richmond,Love
4565,bradley robinson,heather boyer,Enemy
4566,joseph green,rachel horton,Affection
4567,danny velez,amy graves,Enemy
4568,kevin brown,tammy mullins,Affection
4569,richard wright,sharon mitchell,Love
4570,robert valdez,danielle king,Affection
4571,william smith,jennifer cook,Enemy
4572,nathan doyle,rebecca russell,Marriage
4573,frederick hansen,teresa french,Enemy
4574,robert peterson,kelsey kennedy,Marriage
4575,jonathan patel,ann rivera,Marriage
4576,scott patel,cheryl phillips,Marriage
4577,james barrett,amber lopez,Affection
4578,scott ferguson,sarah harrison,Affection
4579,michael saunders,kimberly castillo,Enemy
4580,daniel wiggins,michelle robinson,Affection
4581,jonathan walsh,rebecca patton,Affection
4582,mark hughes,michelle webb,Affection
4583,samuel bonilla, christina hill,Marriage
4584, brian gutierrez dds,michelle hill,Enemy
4585,robert gallagher,suzanne gregory,Marriage
4586,tommy johnson,lisa watson,Love
4587,mario allen,nicole hernandez,Friends
4588,manuel duncan,erica jensen,Enemy
4589,andrew lam,danielle medina,Enemy
4590,sergio waller,rebecca hammond,Friends
4591,ethan johnson,wanda gardner,Affection
4592,jerry sherman,amanda collier,Love
4593,ryan castillo,lauren esparza,Love
4594,carlos simmons,stephanie pace,Affection
4595,michael ford,tammy berry,Marriage
4596,dominic riggs,ashley robertson,Friends
4597,sean patterson,amy perez md,Affection
4598,keith morgan,deanna berg,Affection
4599,john walsh,courtney baldwin,Affection
4600,patrick nelson,melissa taylor,Enemy
4601,marcus allen,lori butler,Love
4602,richard taylor,pamela wilson,Friends
4603,gregory thomas,catherine wilson,Marriage
4604,terry jenkins,carol gardner,Affection
4605,patrick carter,doris doyle,Marriage
4606,james strong,jill becker,Friends
4607,jeremy wyatt,regina mathews,Affection
4608,ryan bean,kim larsen,Enemy
4609,michael kim,sara garcia,Love
4610,charles skinner,sara jones,Enemy
4611,timothy doyle,melissa nelson,Affection
4612,austin avila,rebecca wolfe,Affection
4613,matthew medina,danielle gray,Marriage
4614,paul ruiz,kathy crosby,Marriage
4615,eduardo johnson,kelly aguirre,Friends
4616,eric thompson,jasmine coleman,Affection
4617,charles ponce,jessica wright,Love
4618,eric bullock,elizabeth stanley,Marriage
4619,michael powell,allison wilkerson,Love
4620,seth perry,tracy dixon,Affection
4621,matthew weeks,suzanne clark,Affection
4622,mitchell rangel,elizabeth hall,Enemy
4623,paul ruiz,samantha campbell,Friends
4624,brian lawson,rachael bennett dvm,Friends
4625,jordan rodgers,christina phelps,Marriage
4626,brent marquez jr,janet gutierrez,Marriage
4627,travis dunn,pamela oliver,Affection
4628,christopher oneill,jacqueline schwartz,Love
4629,eric wheeler,olivia anderson,Affection
4630,casey moore,renee taylor,Marriage
4631,matthew bradshaw,heather mcmahon,Affection
4632,james monroe,belinda wise,Affection
4633,marvin oconnor,crystal wilson,Enemy
4634,dr robert taylor,lindsey wheeler,Affection
4635,mark cohen,donna miller,Enemy
4636,daniel king,brooke rogers,Marriage
4637,gary king,christina clayton,Marriage
4638,joseph lloyd,kimberly mayo,Affection
4639,steve jackson,jessica price,Enemy
4640,joseph hernandez,nancy lang,Friends
4641,dennis smith,darlene fisher,Enemy
4642,peter goodman,cassandra hernandez,Marriage
4643,daniel harrison,jessica baxter,Marriage
4644, connor foster phd,michelle dixon,Affection
4645,franklin ortega,cynthia armstrong,Enemy
4646,alexander huang,jennifer sandoval,Love
4647,george mccall,mariah moore,Affection
4648,christopher zavala,kelly ortiz,Marriage
4649,michael gordon,heidi stewart,Marriage
4650,timothy martin,shawna mckay,Marriage
4651,james summers,sandra leonard,Marriage
4652,kenneth frazier,samantha lynn,Affection
4653,christopher garner,dawn brooks,Affection
4654,carl davis,taylor beck,Love
4655,travis joseph,kristen gould,Marriage
4656,robert williams,madison mathews,Affection
4657,daniel anderson,yvette kemp,Love
4658,timothy hernandez,evelyn jenkins,Marriage
4659,allen campbell,paige edwards,Marriage
4660,aaron thomas,margaret bennett,Enemy
4661,albert miller,natalie allen,Marriage
4662,isaac christian,renee duncan,Affection
4663,jason richardson,leah flores,Marriage
4664,david martin,dr megan campbell,Affection
4665,joshua gonzalez md,wendy shaffer,Friends
4666,ryan rojas,kathleen bates,Friends
4667,vincent stevens,christine velez,Enemy
4668,shawn baxter,shelby stevenson,Enemy
4669,corey powell,lisa acosta,Affection
4670,paul kennedy,heidi moore,Marriage
4671,matthew dominguez,amber walker,Marriage
4672,drew weber,brenda harris,Affection
4673,jason reynolds,tracey jackson,Marriage
4674,thomas prince,tammy caldwell,Affection
4675,brandon bolton,connie james,Affection
4676,gregory smith,connie ramirez,Marriage
4677,john mcneil,megan trujillo,Enemy
4678,michael montgomery,heather williams,Affection
4679,mark moore,rebecca welch,Affection
4680,dustin bates,theresa schultz,Love
4681,sean adkins,stephanie frye,Affection
4682,charles miller,allison ramirez,Friends
4683,joseph russell,kiara gross,Affection
4684,michael randall,ashley hall,Affection
4685,luis maxwell,mariah carter,Affection
4686,timothy bush, erika bullock,Marriage
4687,ralph newman,jessica burns,Affection
4688,brandon hernandez,julie richards,Friends
4689,brian orr,kayla carey,Love
4690,tyler jenkins,april harper,Affection
4691,lawrence gaines,kathryn porter,Affection
4692,max smith,heather harrison,Love
4693,darryl marks,haley adams,Marriage
4694,jeremy white,nicole kane,Friends
4695,david bryant,robin franco,Enemy
4696,francis rice,barbara roberts,Marriage
4697,joshua clarke,donna allen,Marriage
4698,roy jones,jacqueline santiago,Affection
4699,lucas sanchez,wendy herrera,Affection
4700,james ruiz,alison hayes,Love
4701,vincent thomas,amanda richardson,Affection
4702,jeffrey douglas,tara sampson,Friends
4703,jermaine patton,renee thompson,Marriage
4704,johnathan brady dds,jennifer neal,Friends
4705,darren patel,melissa patrick,Enemy
4706,edward johnson,stacy foster,Affection
4707,jesse martinez,jennifer taylor,Affection
4708,christopher graham,donna henderson,Affection
4709,bryan white,theresa galvan,Affection
4710,jose evans,whitney arnold,Affection
4711,eric walker,frances thompson,Marriage
4712,daniel reed,jessica vaughn,Affection
4713,melvin reid,lisa lloyd,Love
4714,christopher cohen,holly butler,Affection
4715,albert payne,michelle brooks,Friends
4716,joshua taylor,bridget mercer,Love
4717,anthony lozano,jennifer browning,Friends
4718,christopher russell,andrea phillips,Affection
4719,adam herrera,tracey evans,Enemy
4720,jose cardenas,brandi flores,Marriage
4721,chad osborne,barbara walters,Enemy
4722,robert ramirez,angela mahoney,Friends
4723,jerome miller,amy noble,Affection
4724,nicholas vargas,heather lawrence,Affection
4725,david clark,lisa hicks,Enemy
4726,chris harrison,kristi harris,Friends
4727,kevin johnson,nicole russell,Love
4728,douglas hill,debra mccoy,Marriage
4729,paul hill,rhonda hall,Enemy
4730,mark holt,alison lowery,Love
4731,anthony miller,cynthia collins,Marriage
4732,kenneth choi,pamela reed,Friends
4733,christopher watts,sara pacheco,Friends
4734,john martinez,cynthia wagner,Affection
4735,alexander morgan,alexis moran,Enemy
4736,chad stevens,brittany mays,Affection
4737,jason sweeney,monica arnold,Friends
4738,david king iii,jacqueline mann,Affection
4739,frederick khan,linda hunter,Enemy
4740,dwayne jackson,amanda wilson,Affection
4741,larry mcdonald,jessica garza,Marriage
4742,fred cantrell,brandy fowler,Marriage
4743,matthew miller,alejandra rivera,Love
4744,ryan hebert,janice dixon,Affection
4745,mark reyes,sarah young,Enemy
4746, michael webb,julia shields,Affection
4747,corey davis,cynthia goodman,Love
4748,charles harvey,kathleen wyatt,Marriage
4749,arthur hughes,morgan moreno,Friends
4750,anthony stevenson, jacqueline silva md,Love
4751,joel hicks,suzanne welch,Love
4752,matthew fletcher,sabrina logan,Love
4753,charles medina,catherine lee,Enemy
4754,thomas smith,angela mack,Friends
4755,dylan anderson,rhonda fritz,Enemy
4756,william wiggins,susan mueller,Affection
4757,jacob johnson,desiree gomez,Friends
4758,daniel jordan,cheryl king,Marriage
4759,jeffrey gilbert,christy gonzalez,Affection
4760,jacob holloway,brittany hudson,Friends
4761,alexander mendez,melissa perez,Enemy
4762,william keller,valerie maldonado,Affection
4763,jonathan phillips,maria nguyen,Friends
4764,michael green,lisa carpenter,Marriage
4765,joshua miller,karen rivera,Marriage
4766,michael watson,holly miller,Enemy
4767,nicholas goodwin,cindy mendez,Friends
4768,steven moreno,madison riddle,Enemy
4769,jason yang,kerry brown,Affection
4770, matthew burton,amber pham,Enemy
4771,benjamin johnson,rebecca ellis,Marriage
4772,caleb wells,charlotte allen,Enemy
4773,stephen phillips,lori white,Enemy
4774,matthew park,hannah wilcox,Friends
4775,tyler cruz,brittany jones,Affection
4776,scott henry,allison blake,Friends
4777,russell brown,deborah arroyo,Affection
4778,cody elliott,teresa wall,Marriage
4779,andrew henry,kimberly turner,Marriage
4780,scott sullivan,lori wilson,Affection
4781,john little,emily lopez,Enemy
4782,robert mckinney,beth martin,Marriage
4783,mark short,kimberly gardner,Affection
4784,christopher ramirez,rebecca frederick,Affection
4785,andrew solis,emily hughes,Affection
4786,joseph thompson,patricia becker,Enemy
4787,bruce stephens,linda watson,Friends
4788,jonathan strickland,tina harris,Marriage
4789,charles campbell,audrey peters,Affection
4790,thomas phillips,lori anderson,Affection
4791,james morrison,sandy carter,Love
4792,anthony rose,isabella watson,Affection
4793,adrian simpson,nicole anderson,Marriage
4794,jack ramos,debra rodriguez,Friends
4795,justin nguyen,phyllis green,Enemy
4796,nicholas koch,kristy huffman,Affection
4797,richard gilbert,jessica wright,Enemy
4798,michael richardson,brenda osborne,Love
4799,mark phillips,jessica harris,Enemy
4800,dylan west,shannon wilson,Affection
4801,zachary hill,elizabeth gray,Marriage
4802,christian vaughn,jennifer allison,Friends
4803,donald burnett,kristen may,Marriage
4804,donald chung,jennifer garcia,Friends
4805,eric frye,melissa cox,Marriage
4806,sean lynch,donna wilson,Enemy
4807,james thompson,tammy watson,Marriage
4808,jamie wright,kimberly clark,Affection
4809,edward foster,alyssa lewis,Marriage
4810,jeremy lucero,angelica lee,Affection
4811,fernando carlson,stephanie salas,Marriage
4812,douglas gallegos,pamela miller,Friends
4813,benjamin bryant,valerie rodriguez,Friends
4814,noah mcbride,terri clark,Enemy
4815,stephen rodriguez,yolanda mckenzie,Marriage
4816,robert roberts,jennifer johnson,Affection
4817,alex obrien,kayla wolfe,Enemy
4818,james wagner,jenny turner,Enemy
4819,michael gray,cynthia thompson,Affection
4820,mark wheeler,anna bryant,Friends
4821,robert mitchell,andrea adams,Affection
4822,mark beard,alexis gutierrez,Affection
4823,william harris,taylor robertson,Marriage
4824,jeffrey peck,sara griffin,Marriage
4825,jerry herrera,melissa small md,Love
4826,raymond medina,kari sanchez,Marriage
4827,david gonzalez,chloe davis,Enemy
4828,danny fowler jr,jessica ford,Love
4829,jason newton,kristin hanson,Affection
4830,christopher walters,alisha williams,Marriage
4831,jared hays,karen cooper,Marriage
4832,trevor rodriguez,mary townsend,Affection
4833,jimmy garcia,tasha aguilar,Love
4834,thomas simmons,julia drake,Friends
4835,rick evans,amber johnson,Love
4836,francisco johnson,jane weaver,Marriage
4837,oscar roberts,elizabeth sloan,Love
4838,matthew moore,ann foster,Affection
4839,dr andrew fletcher md,amber bennett,Marriage
4840,jesus donaldson,kimberly crane,Affection
4841,jason reese,rachel brown,Affection
4842,darrell cox,crystal calhoun,Enemy
4843,matthew davis,dominique evans,Enemy
4844,gregory pratt,sarah velasquez,Marriage
4845,gregory baker,tracy shaw,Affection
4846,robert robles,megan moore,Love
4847,ryan hicks,abigail johnson,Love
4848,roger greene,melissa hernandez,Affection
4849,tony williamson,marissa wilcox,Enemy
4850,richard young,lauren castro,Enemy
4851,allen castro,elizabeth green,Affection
4852,christian reese,allison ellis,Love
4853,john schneider,dr audrey fleming,Friends
4854,michael harper,jessica fisher,Affection
4855,zachary garcia,natalie norris,Affection
4856,peter myers,taylor smith,Enemy
4857,rodney davila,valerie manning,Marriage
4858,jason pugh,caitlin rios,Affection
4859,chad kaiser,mary weber,Love
4860,keith smith,kimberly jones,Marriage
4861,william livingston,andrea lowe,Affection
4862,ryan logan,jessica mitchell,Friends
4863,christopher schwartz,kimberly duran,Friends
4864,james meyer,ashley hoover,Enemy
4865,edward dougherty,jeanette flores,Affection
4866,gregory leonard,denise smith,Affection
4867,victor green,holly clark,Friends
4868,cody vaughan,brittany stewart,Friends
4869,cole hayes,mary kirby,Affection
4870,joshua flowers,christine jones md,Affection
4871,brian beck,tara duran,Enemy
4872,kevin hayes,rhonda romero,Affection
4873,adam nguyen,elaine gray,Marriage
4874,donald collins,kristina may,Affection
4875,jeremiah jackson,karen mosley,Enemy
4876,adam curtis,stacey murillo,Marriage
4877,bobby simmons,elizabeth miller,Affection
4878,leslie brooks,amber lewis dds,Affection
4879,austin gonzalez,lauren lewis,Enemy
4880,nicholas barron,erika beck,Marriage
4881,robert vargas,brenda day,Enemy
4882,james tanner,megan jackson,Marriage
4883,daniel espinoza,monique allen,Enemy
4884,joshua white,morgan hughes,Enemy
4885,alan long,angela cervantes,Enemy
4886,brian garcia,christina baldwin,Enemy
4887,willie weiss,michelle hansen,Enemy
4888,roger edwards,jennifer lawrence,Affection
4889,ronald johnson,madison norton,Marriage
4890,travis bailey,monica gray,Marriage
4891,george murphy,carol tucker,Affection
4892,derek horn,deborah smith,Affection
4893,john douglas,cindy cook,Affection
4894,matthew hughes,dawn robinson,Love
4895,david martinez,rebecca norton,Affection
4896,curtis webb,robin hahn,Affection
4897,eric campbell,crystal hanson,Friends
4898,darrell walsh,tammy barker,Affection
4899,brian walsh,pamela avery,Affection
4900,richard dillon,megan fernandez,Friends
4901,nicholas cole,amy clark,Marriage
4902,jeremy white,victoria solomon,Affection
4903,michael warner,tiffany mason,Friends
4904,jaime phillips,angela tucker,Friends
4905,jeffrey wagner,heather hill,Friends
4906,alan smith,christie smith,Enemy
4907,john herman,brittney bartlett,Marriage
4908,nathaniel smith,anna ross,Marriage
4909,joshua hernandez,maria lambert,Friends
4910,timothy barton,susan foster,Marriage
4911,arthur gutierrez,julia frost,Love
4912,jaime saunders,kimberly holland,Affection
4913,jerry castillo,cynthia herrera,Affection
4914,howard dixon,emily simpson,Marriage
4915,timothy shaw,jessica ingram,Affection
4916,brian rodriguez,kara holmes,Affection
4917,keith hickman,lauren oconnell,Marriage
4918,ryan boyd,jenna wood,Enemy
4919,jimmy cook,debra reed,Friends
4920,gary fleming,jennifer thompson,Affection
4921,ronald carter,lauren kim,Affection
4922,antonio king,jessica mcdaniel,Marriage
4923,david robinson,donna fisher,Friends
4924,steven miller,catherine ortiz,Love
4925,kyle garrett,lisa contreras,Enemy
4926,evan holt,alyssa torres,Enemy
4927,colin castillo,barbara moses,Marriage
4928,carlos warren,nicole johnson,Enemy
4929,melvin nunez,maureen ward,Love
4930,jermaine pena,yolanda vaughan,Friends
4931,michael bauer,rebecca mitchell,Enemy
4932,justin adkins,sheila miller,Marriage
4933,timothy simpson,katherine cook,Affection
4934,jack munoz,rhonda savage,Affection
4935,franklin dawson,ashley walton,Enemy
4936,darryl guzman,hailey west,Marriage
4937,brandon howard,ann lewis,Affection
4938,kevin williams,linda hendricks,Affection
4939,stephen hall,nicole doyle,Affection
4940,joel caldwell,natasha hudson,Affection
4941,john blankenship,christie cox,Friends
4942,mark spencer,ashley garrett,Marriage
4943,steven delacruz,kelly gibson,Friends
4944,matthew ponce,patricia jones,Affection
4945,craig williams,sharon wiley,Affection
4946,timothy cochran,erica obrien,Enemy
4947,david stout,lindsey downs,Marriage
4948,jonathan copeland,jessica mathis,Friends
4949,chad levy,donna day,Affection
4950,michael cohen,donna frank dds,Friends
4951,stephen sanchez,emily guzman,Friends
4952,steven arias,carla turner,Enemy
4953,david bennett,taylor munoz,Marriage
4954,justin hendrix,sydney levine,Love
4955,shawn ramirez,sarah castro,Enemy
4956,scott edwards,kathleen perez,Affection
4957,ryan davis,michelle peck,Love
4958,steven lopez,brittany gonzales,Enemy
4959,james walker,karen larson,Marriage
4960,shawn mason,jennifer morrison,Affection
4961,charles finley,tiffany calderon,Friends
4962,matthew pennington,anne butler,Marriage
4963,walter wolf,wendy gonzalez,Love
4964,james banks,charlotte calderon,Friends
4965,joseph turner,lisa lane,Affection
4966,joshua vazquez,shelley salas,Affection
4967,james landry,alexandria acevedo,Enemy
4968,sean humphrey,lori ross,Friends
4969,charles velasquez,heather garcia,Marriage
4970,thomas kirby,dr amanda gutierrez,Marriage
4971,lee miller,kathy marshall,Affection
4972,charles phillips,jessica flores,Enemy
4973,christopher williams,lacey montes,Marriage
4974,george rodriguez,pamela villarreal,Love
4975,kevin hogan,brenda moss md,Affection
4976,jason williams,jennifer reyes,Marriage
4977,henry nguyen,tiffany martinez,Affection
4978,steven cummings,mallory cardenas,Marriage
4979,travis hernandez,cynthia sanchez,Enemy
4980,gabriel vargas,sarah johnson,Friends
4981,joshua washington jr,michele hawkins,Marriage
4982,jesse owens,kristin brown,Marriage
4983,michael dyer,kelsey perry,Enemy
4984,joseph allen,penny gray,Love
4985,james macdonald,kylie rodriguez,Friends
4986,justin alvarado,nicole robinson,Marriage
4987,luke buck,amber wilkerson,Affection
4988,phillip baxter,cheryl smith,Enemy
4989,nicholas sanchez,jeanette williams dds,Affection
4990,michael jones,lisa giles,Enemy
4991,jason jordan,brenda myers,Enemy
4992,christopher hall,loretta sutton,Affection
4993,jordan stewart,jodi mccoy,Marriage
4994,kyle munoz,amy wilkerson,Enemy
4995,gerald lambert,amanda williams,Affection
4996,carl jordan,caitlin hickman,Affection
4997,jonathan wolfe,judith lopez,Marriage
4998,richard ritter,kristen smith,Affection
4999,mark bishop,heather guerrero,Affection
5000,kyle mcdonald,patricia nelson,Marriage
5001,stephen barber,donna smith,Affection
5002,gordon patterson,andrea tyler,Affection
5003,dylan wilson,rachel collier,Affection
5004,juan hooper,cindy hall,Affection
5005,john hernandez,molly arnold,Marriage
5006,tyler vaughn,kelly shepard,Enemy
5007,richard yoder,molly odonnell,Friends
5008,joseph mcbride,laura walker,Friends
5009,john valdez,allison reid,Affection
5010,matthew austin,kimberly gonzalez,Affection
5011,shawn jones,laura holland,Marriage
5012,richard berry,laura snyder,Affection
5013,victor downs,kirsten shaffer,Affection
5014,harold smith,heather butler,Love
5015,michael cooper,amber wolf,Affection
5016,robert aguirre,kristina lambert,Affection
5017,robert soto,mary barnes,Love
5018,maurice king,elizabeth neal,Affection
5019,charles nichols,deborah hughes,Love
5020,david smith,jodi brown,Affection
5021,thomas brown,kelsey fisher,Friends
5022, andrew aguilar,amanda smith,Affection
5023,thomas garcia,susan brown,Marriage
5024,bryan hunter,tina sparks,Love
5025,michael gonzalez,kristine ruiz,Marriage
5026,jeff wilson,haley cooper,Affection
5027,brian diaz,melinda nelson,Love
5028,jose castro,sydney brown,Marriage
5029, michael bradley,angie gonzales,Affection
5030,kevin yoder,rhonda bolton,Marriage
5031,scott santos,leah rodriguez,Love
5032,adam frazier,cathy campbell,Marriage
5033,justin williams,april bell,Affection
5034,steven mitchell,angela jenkins,Marriage
5035,joshua nichols,christine mclean,Enemy
5036,edwin wilson,katie mcbride,Friends
5037,peter montgomery,kristin white,Friends
5038,colton rich,brenda robinson,Marriage
5039,michael hess,amy cohen,Enemy
5040,robert hall,donna goodwin,Friends
5041,luke diaz,teresa burke,Enemy
5042,nathan ford,kelly miller,Love
5043,steven anderson,elizabeth vaughn,Affection
5044,theodore davis,melissa tran,Enemy
5045,albert chung,barbara martin,Affection
5046,david johnson,lisa collins,Enemy
5047,guy wilson,sabrina watts,Affection
5048,michael smith,amanda finley,Love
5049,edward gordon,rachel grant,Love
5050,robert gomez,deborah lee,Affection
5051,michael klein,carmen davis,Affection
5052,thomas richard,danielle campbell,Affection
5053,matthew best,casey johnson,Affection
5054,michael hernandez,madeline simmons,Affection
5055,kevin woodard,debra wu,Affection
5056,michael lamb,emily watkins,Enemy
5057,david miller,cathy alvarado,Enemy
5058,david johnson,susan hutchinson,Affection
5059,kirk garcia,lauren stevens,Affection
5060,christopher horton,tiffany rowe,Marriage
5061,justin christensen,nicole miranda,Friends
5062,james baxter,dr lisa moore,Love
5063,bryan arnold,amber ryan,Friends
5064,bobby peterson,nicole berger,Affection
5065,richard woods,lauren lyons,Affection
5066,victor brown,nancy wilkinson,Love
5067,corey braun,michelle cummings,Friends
5068,daniel smith,denise holt,Friends
5069,thomas hernandez,christine todd,Enemy
5070,james li,carrie marquez,Love
5071,sean dawson,amber reynolds,Enemy
5072,dr david bryant ii,melissa miller,Friends
5073,jacob robinson, jacqueline myers,Marriage
5074,jeffrey hoover,anna melton,Friends
5075,joshua osborne,denise maxwell,Marriage
5076,jacob dorsey,katherine david,Friends
5077,jeffery white,regina bishop,Affection
5078,eric owens,cathy smith,Affection
5079,david white,april munoz,Marriage
5080,tim burton,crystal rodriguez,Affection
5081,brian wagner,sandra pacheco,Marriage
5082,bradley smith,katie clayton,Love
5083,austin parker,alyssa stokes,Enemy
5084,charles jackson,melinda figueroa,Friends
5085,gregory dillon,jennifer jackson,Affection
5086,johnny baker,jennifer zimmerman,Affection
5087,shawn holland,sharon johnson,Marriage
5088,alexander johnson,susan graham,Marriage
5089,stephen nichols,heather lester,Enemy
5090,steven white,jessica pena,Love
5091,daniel wilson,veronica griffin,Affection
5092,william myers,brittney wilson,Enemy
5093,nicholas hoffman,molly armstrong,Marriage
5094,frank berger,evelyn reeves,Love
5095,travis flores,kelsey porter,Enemy
5096,taylor sampson,amanda glass,Affection
5097,randy allen,marissa juarez,Affection
5098,earl dyer,rachel mcdaniel,Enemy
5099,james george,lindsey hurst,Friends
5100,andrew schmitt,dr amy hayes,Enemy
5101,thomas taylor,cynthia baker,Marriage
5102,robert campbell,ashley johnson,Friends
5103,kevin hart,jacqueline vasquez,Affection
5104,daniel miller,jennifer mccall,Friends
5105,michael haley,cynthia murray,Enemy
5106,daniel johnson,samantha dominguez,Affection
5107,christopher lee,angela johnson,Affection
5108,jeffrey hawkins jr,angel adams,Friends
5109,james sanders,tina porter,Marriage
5110,tony baker, patricia greene md,Friends
5111,dennis hodge,mckenzie burke,Friends
5112,noah howard,michele rivera,Friends
5113, stephen miller,rachael ortiz,Marriage
5114,james smith,dana anderson,Affection
5115,david martin,maria anderson,Friends
5116,john adams,casey wade,Love
5117,william york,dawn everett,Friends
5118,john wright,carrie clark,Marriage
5119,joshua jones,cheyenne hobbs,Affection
5120,lee hernandez,adriana freeman,Marriage
5121,steven williams,joy johnson,Friends
5122,gregory williams,jessica johnson,Marriage
5123,peter hunt,karen fuller,Enemy
5124,dylan tran,mary dixon,Marriage
5125,adam jensen,natalie robinson,Marriage
5126,travis gardner,kayla wu,Friends
5127,brent mills,kristina mclean,Friends
5128,michael young,heather warren,Affection
5129,robert thomas,vicki ruiz,Friends
5130,justin guerrero,sandra brown,Affection
5131,matthew lee,kimberly mcmillan,Affection
5132,david cook,jennifer moreno,Affection
5133,ronald stafford,monique crawford,Love
5134,billy simpson,jordan hodges,Friends
5135,daniel gray,julia moore,Enemy
5136,david kemp,kellie adams,Friends
5137,william porter,debbie morris,Love
5138,jared thomas,heather hunt,Enemy
5139,ian saunders,allison reid,Enemy
5140,jim swanson,sherry reynolds,Marriage
5141,gary thompson,elizabeth maxwell,Love
5142,john benton,kelsey thompson,Enemy
5143,ronald johnson,vanessa michael,Affection
5144,jose frazier,brittany nguyen,Marriage
5145,kevin garcia,kelly garcia dvm,Marriage
5146,raymond hopkins,casey lindsey,Marriage
5147,jeffrey franco,heather clark,Affection
5148,gregory bradshaw,laura compton,Friends
5149,james smith,pamela knapp,Affection
5150,william barrera,wanda bush,Friends
5151,christopher adkins, ariel hill dvm,Affection
5152,michael clark,rebecca johnson,Affection
5153,frank bond,bethany dudley,Affection
5154,richard richardson,nancy walsh,Affection
5155,billy carr,crystal robinson,Enemy
5156,justin guerra dds,kimberly hughes,Affection
5157,gerald porter,amber coleman,Enemy
5158,joshua hopkins,julie nichols,Enemy
5159,stephen brown,stephanie lewis,Enemy
5160,paul richardson,hannah alvarado,Marriage
5161,brian wilson,tammy mills,Marriage
5162,raymond rush,katherine aguirre,Affection
5163,william fisher,amanda mcdaniel dvm,Affection
5164,scott walker,nancy leonard,Love
5165,lucas valentine,victoria boyd,Friends
5166,patrick campbell,kim huff,Friends
5167,george tucker,kathleen little,Friends
5168,jeremy robbins,sara baker,Love
5169,jeffrey thomas,ashley conley,Love
5170,joel johnson,tracy castillo,Marriage
5171,mark fitzgerald,alexandria west,Enemy
5172,luis marquez,michelle wilson,Marriage
5173,christopher johnson dds,tracy johnson,Enemy
5174,joshua kent,michelle green,Friends
5175,curtis hernandez,emily steele,Friends
5176,christopher barron,cheyenne banks,Marriage
5177,ryan anderson,sandra donaldson,Friends
5178,joshua lawson,summer nielsen,Friends
5179,brian edwards,susan bailey,Affection
5180,james suarez,denise king,Friends
5181,andrew brown,mary flores,Marriage
5182,cole little,caroline james,Enemy
5183,nathan rodriguez,christina stafford,Enemy
5184,robert bryant,morgan williams,Marriage
5185,jeremy clark,angela torres,Love
5186,samuel bernard,sarah miller,Marriage
5187,alexander simpson,heidi thompson,Affection
5188,roberto wallace,amy green,Affection
5189,cory smith,ruth garcia,Affection
5190,stephen baldwin,jill haynes,Enemy
5191,adam rios,paula sullivan,Affection
5192,craig mcgrath,audrey riley,Friends
5193,paul herman,cynthia barber,Love
5194,jason smith,madeline marquez,Marriage
5195, isaiah travis,elizabeth martin,Love
5196,zachary kennedy,sarah quinn,Affection
5197,william blackwell,tracy montoya,Enemy
5198,tony roman,amanda graham,Enemy
5199,robert potter,kim sparks,Marriage
5200,joshua hall,kayla brooks,Enemy
5201,john simpson,christina king,Marriage
5202,andrew flores,cheyenne myers,Marriage
5203,nicholas goodwin,christina gay,Enemy
5204,preston mcfarland,rebecca orr,Love
5205,justin thompson,melissa smith,Love
5206,matthew powell,tara bennett,Affection
5207,ian sanchez,angela gray,Love
5208,robert jackson,cynthia harper,Marriage
5209,john thomas,debra king,Marriage
5210,brian campos,carla ross,Marriage
5211,john mcmahon,savannah perez,Affection
5212,william miller,ann parker,Friends
5213,roger jimenez,christine shah,Affection
5214,michael baker,barbara morales,Marriage
5215,kevin nelson,brenda martinez,Friends
5216,michael miller,kristen taylor,Marriage
5217,william smith,melissa watson,Enemy
5218,jonathan booth,veronica donovan,Affection
5219,timothy baker,jade bell,Affection
5220,keith johnson,elizabeth guerra,Friends
5221,samuel howell,natalie bowen,Enemy
5222,adam schaefer,vanessa reyes,Affection
5223,earl brown,dawn daniels,Affection
5224,erik tyler,rhonda wood,Friends
5225,dwayne moore,theresa jones,Enemy
5226,matthew myers,miss julie french,Affection
5227,robert jones,abigail pierce,Marriage
5228,benjamin ramos,nicole navarro,Affection
5229,brian lopez,tracy turner,Marriage
5230,jeremy bullock,pamela woodward,Friends
5231,eric martin,melissa farrell,Enemy
5232, jose brown,gwendolyn harris,Marriage
5233,michael carr,samantha strickland,Enemy
5234,eugene mack,sara landry,Friends
5235,david robinson,tammy jennings,Friends
5236,ryan browning,cathy fox,Friends
5237,larry durham,april shaw,Affection
5238,matthew carrillo,susan kelly,Friends
5239,jeffrey moore,diane ballard,Affection
5240,travis watson,amy dyer,Friends
5241,mark wilson,katherine parsons,Affection
5242,timothy jones,sharon jones md,Enemy
5243,timothy levine,theresa walters,Friends
